Report No.,Code,Incident Type,Title,Date,Location,Latitude,Longitude,Description,Weapons,Actor Type,Actors,Actor Categories,Unspecified,Pistol,Revolver,Assault Rifle,Rifle,Shotgun,SMG,LMG,HMG,GL,AGL,RPG/ATW,Mortar,ATGM,MANPADS,Hand Grenade,Projected Gren,Rifle Gren,Munition,Ammo,Craft handgun,Craft Rifle,Craft Shotgun,Craft SMG,Craft RPG,Tags,Convergence,Arms Score,Source
7,VNM.2026.06.07.001,Illicit manufacture,Police raid workshops behind national gun-manufacturing ring in HCMC and Dong Nai,07 June 2026,HCMC,10.7648167838489,106.780700747227,"Police seized hundreds of finished and unfinished craft rifles when they dismantled a national arms-manufacturing and trafficking ring based in Ho Chi Minh City and Dong Nai on 7 June 2026. Acting on Telegram and Viber accounts flagged for large-scale gun-component trading, police first arrested ring leaders Nguyen Duc Hiep, Sam Van Thuyen, and Pham Van Tuan between late April and 6 May 2026, together with 6 further defendants across Lao Cai, Ninh Binh, Phu Tho, Hung Yen, and Ha Tinh, charging all 9 with illegal possession and sale of military weapons. That raid recovered 64-65 self-made gun bodies, 6 complete PCP air rifles, 8 additional air guns, 1 shotgun with 20 rounds of ammunition, up to 40 kilograms of lead pellets, 60 suppressors, and gun-manufacturing machinery including a press and a lathe.

Police later raided two machine shops disguised as ordinary civilian workshops on 7 June 2026, detaining 5 more suspects — Vu Manh Quyet (workshop owner), Nguyen Thi Quynh Nhu, Nguyen Cong Quy, Nguyen Cong Danh, and Truong Anh Tai. They seized 178 finished PCP gun bodies, 113 magazines, 300 aluminum alloy blanks, hundreds of additional unassembled components, 4 CNC milling machines, 1 CNC lathe, and 2 desktop computers.

Quyet told investigators he had run the workshop since 2023, filling thousands of orders for buyers domestically and abroad, and had machined roughly 200 gun bodies between February and May 2026 alone for a Viber contact known as ""Ga Rung."" Police also identified Tran Huu Trang (born 1997, Dong Nai) as the designer of the PCP gun-body models supplied to Hiep, describing the full network — from component design and manufacture through assembly to online sale — as the largest such operation uncovered to date.

Images of the raids showed hundreds of unassembled firearm components, including dozens of milled rifle receivers (bodies) at various stages of production. Images also showed workshop equipment, including several large CNC machines and lathes.","243 unfinished craft rifles
6 PCP air rifles (craft rifles)
8 additional air guns
1 shotgun
20 rounds of ammunition
dozens of kilograms of lead/lead pellets
additional unassembled components and manufacturing materials.","Criminal Organization
Police","Criminal Organization (Nguyen Duc Hiep, born 1990; Sam Van Thuyen, born 1985; Pham Van Tuan, born 1990; Vu Manh Quyet, born 1987; Tran Huu Trang, born 1997; Nguyen Thi Quynh Nhu; Nguyen Cong Quy, born 1994; Nguyen Cong Danh; Truong Anh Tai; 9 total formally charged as of reporting); Police (Ha Tinh Provincial Police Cybersecurity and High-Tech Crime Prevention Department, Ha Tinh Provincial Security Investigation Agency, Ho Chi Minh City Police, Dong Nai Police).","Criminal, State",,,,,,1,,,,,,,,,,,,,,20,,257,,,,"Online, Crime, Smuggling",,259.2,https://suckhoedoisong.vn/boc-go-duong-day-che-tao-vu-khi-quan-dung-quy-mo-lon-169260607142840555.htm
5,VNM.2026.06.06.001,Illicit manufacture,HCMC police dismantle 3D printing manufacturing ring spanning multiple provinces,06 June 2026,"Tan Son Nhi Ward, HCMC",10.8007887291772,106.622140292257,"Police seized at least 30 firearms, 9 partially assembled firearms, roughly 100 gun components in production, one hand grenade, and over 1,000 rounds of ammunition and arrested 34 suspects when they dismantled a manufacturing and online-sales ring led by Nguyen Ngoc Son across Ho Chi Minh City, Tay Ninh, Dong Thap, and Vinh Long between 30 May and 11 July 2026.

Son, who began building homemade pistols from online-ordered parts in January 2026 and sold them via anonymized Facebook accounts for around VND 5 million each, recruited associates with metalworking skills to mass-produce components and shipped completed weapons disguised inside computer-tower boxes via intercity couriers; buyers paid into bank accounts registered to other people to obscure the money trail. The investigation also uncovered links to drug distribution, leading to seven additional arrests for drug sales and organizing drug use.","14 3D-printed pistols (craft handguns)
7 ZP-5 converted revolvers (craft handguns)
7 converted pistols (craft handguns)
2 3D-printed MP5-style submachine guns (craft submachine guns)
1 air rifle (craft rifle)
1 M67 hand grenade
1,000+ rounds of ammunition.","Criminal Organization
Police","Criminal Organization (Nguyen Ngoc Son, born 1993 — leader, charged; more than 30 associates, 34 total defendants charged as of 11 July 2026); Police (Ho Chi Minh City Police Criminal Police Department).","Criminal, State",,,,,,,,,,,,,,,,1,,,,1000,28,1,,2,,"Crime, Online, 3D Printing, Conversion",Drug trafficking,32,https://cand.vn/triet-pha-duong-day-san-xuat-mua-ban-vu-khi-quan-dung-quy-mo-lon-post816056.html
8,VNM.2025.09.13.001,Illicit manufacture,Nationwide PCP air-rifle manufacturing ring dismantled from Bac Ninh base,13 September 2025,"Lam Thao Commune, Bac Ninh",21.0118991377529,106.167167813407,"Police arrested 33 suspects and seized 58 guns (53 PCP air rifles, 2 pellet/shotgun-type guns, and 1 birdshot gun), roughly 130,000 lead pellets, thousands of gun components, and manufacturing machinery — including a metal lathe, hydraulic presses, air compressors, a grinder, a metal cutter, and drill presses — in a nationwide raid on a firearms-manufacturing ring led by Ngo Quang Vy of Lam Thao Commune, Bac Ninh, on 13 September 2025.

Investigators said Vy, a trained mechanical engineer, began buying air guns, lead pellets, and components from foreign websites in 2019, then used workshop machinery to modify and reassemble the components to increase the weapons' lethality before reselling them online; the ring rented two houses in Hai Duong as a warehouse and workshop, sold through YouTube, Facebook, Telegram, Viber, and Zalo livestreams, and had completed roughly 3,500 orders nationwide in early 2025 alone worth tens of billions of dong, with many buyers in mountainous regions seeking hunting guns.

Twenty-six suspects — including Vy, relative and warehouse manager Ngo Van Trong, Nguyen Thanh Do (born 1994), Ngo Van Huynh (born 1992), Nguyen Dinh Dong (born 1994), Tran Van Thai (born 1992), and Nguyen Manh Linh (born 1988) — were formally charged with illegally manufacturing, trading, and possessing military weapons. Police said the operation, tracked for over a year, was the largest of its kind uncovered to date, and noted that under a weapons law effective 1 January 2025, gas- and air-powered guns and their components are classified as military weapons. During the searches, police said residents voluntarily surrendered 10 further guns of the same type after outreach on the dangers of illegal weapons.",68 craft rifles; thousands of gun components and manufacturing machinery.,"Criminal Organization
Police
Civilian Community","Criminal Organization (Ngo Quang Vy, born 1992; Ngo Van Trong; Nguyen Thanh Do, born 1994; Ngo Van Huynh, born 1992; Nguyen Dinh Dong, born 1994; Tran Van Thai, born 1992; Nguyen Manh Linh, born 1988; 19 further charged suspects); Police (Ministry of Public Security Criminal Police Department, Lai Chau Provincial Police, Ha Tinh Provincial Police, Bac Ninh Provincial Police, Hai Phong Police); Civilian Community (residents who voluntarily surrendered 10 additional guns during the operation).","Criminal, State, Other",,,,,,,,,,,,,,,,,,,,,,68,,,,"Conversion, Online, Smuggling, Crime",Environmental crime,68,https://vnexpress.net/duong-day-lap-rap-hang-nghin-sung-quan-dung-4939009.html
0,VNM.2025.08.25.001,Seizure,Police Seize Pistol After Youth Gang Kills Motorist in Quang Tri,25 August 2025,"Km31 of National Highway 9, Khe Ha, Huong Hiep, Quang Tri",16.7659556714509,106.854268462077,Police seized one pistol and 5 rounds of ammunition when they arrested four suspects for fatally injuring a victim with a firearm. The four suspects encountered the victim in a roadside altercation that led to the shooting. Images showed one Glock pistol and two rounds of ammunition.  ,"1 Glock pistol
2 rounds of ammunition","Gang
Police","Gang 
Police (Quang Tri Provincial Police force)","Criminal, State",,1,,,,,,,,,,,,,,,,,,2,,,,,,"Crime, Gang violence, Interpersonal dispute",,1.02,https://www.sggp.org.vn/vu-thanh-nien-bi-ban-tu-vong-o-quang-tri-tam-giu-hinh-su-4-doi-tuong-thu-giu-1-khau-sung-ngan-post810480.html
0,VNM.2025.07.26.001,Seizure,Police seize pistols from Laos-bound fugitive in Quang Tri,26 July 2025,"Tay Chin, Lao Bao, Hương Hóa, Quảng Trị",16.6180675046475,106.602487065766,"Police and customs personnel seized two pistols and 19 rounds of ammunition when they raided a restaurant and arrested a suspect. Images showed one Baretta 92 and one CZ75 along with one loaded magazine.

Cong An Tinh Quang Tri reported that the suspect was wanted for a criminal incident involving theft, drug possession, and resistance to law enforcement in Hanoi. The suspect was preparing to flee over the border into Laos.","1 Baretta 92 pistol
1 CZ75 pistol
19 rounds of ammunition","Criminal Individual
Police",Criminal individual (fugitive suspect); Police,"Criminal, State",,2,,,,,,,,,,,,,,,,,,19,,,,,,Crime,,2.19,https://congan.quangtri.gov.vn/bat-doi-tuong-tran-hai-quynh-gay-an-tai-ha-noi-lan-tron-tai-khu-vuc-bien-gioi-tinh-quang-tri/
0,VNM.2025.07.17.001,Seizure,Police and Customs Seize Pistol From Drug Trafficker Crossing From Laos Into Ha Tinh,17 July 2025,"Cau Treo International Border Gate, Huong Son, Ha Tinh",18.3916524980417,105.158979026617,"Police and customs officials seized one pistol and 15 rounds of ammunition along with 38kg of crystal meth, 3kg of ketamine, 9,000 synthetic drug pills (ecstasy) and 1 heroin cake when they arrested a suspected drug trafficker crossing the border from Laos. Personnel seized the items when they controlled a vehicle through the Cau Treo border crossing. The items were located in a hidden compartment within the vehicle, which also contained a number of fake license plates. The suspect confessed he was hired to transport the items from Laos into Vietnam. Images showed a Sig Sauer P320 pistol and ammo.","1 Sig Sauer P320 pistol
15 rounds of ammunition","Criminal Individual
Police
Other State Agency","Criminal individual (drug trafficker, hired transporter); Police; Other State Agency (Customs)","Criminal, State",,1,,,,,,,,,,,,,,,,,,15,,,,,,"Smuggling, Crime",Drug trafficking,1.15,https://www.sggp.org.vn/pha-chuyen-an-van-chuyen-luong-lon-ma-tuy-thu-giu-sung-dan-va-nhieu-bien-so-gia-post805042.html
0,VNM.2025.07.13.001,Seizure,Police Seize Homemade Firearm After Domestic Abuse Suspect Shoots Officer in Lam Dong,13 July 2025,"Dong Giang, Lam Dong (not located, possibly Đông Giang, Ara, Bình Thuận)",11.223842886773,107.968518905126,"Police seized a homemade firearm following a standoff with a domestic abuse suspect. Police came to the residence following reports that a man was abusing his wife and children. During the response, the suspect shot and injured a police officer. Police eventually subdued the suspect and seized the weapon.",1 craft handgun,"Criminal Individual
Police",Criminal individual (domestic abuse suspect); Police,"Criminal, State",,,,,,,,,,,,,,,,,,,,,1,,,,,"Domestic violence, Crime",,0.5,https://www.sggp.org.vn/lam-dong-bat-doi-tuong-dung-sung-ban-trong-thuong-cong-an-post803630.html
10,VNM.2025.07.05.001,Seizure,Police seize K54 pistol from two men after road rage incident at Da Trang Pass,05 July 2025,"Moc Chau, Son La",20.86345430950783,104.5985015051735,"Police seized a K54 pistol when they arrested Bui Manh Hung (born 1978) and Nguyen Van Quy (born 1980) following a road rage incident at a motel in Moc Chau, Son La on 5 July 2025. Earlier that day, the suspects brandished the weapon to threaten a driver during a confrontation at Da Trang Pass, Mai Chau Ward, Phu Tho.",1 K54 pistol,"Criminal Individual
Police","Criminal Individual (Bui Manh Hung, born 1978, of Hai Phong; Nguyen Van Quy, born 1980, of Hung Yen); Police (Phu Tho Provincial Police Criminal Police Division, Phu Tho Provincial Traffic Police, Mai Chau and Muong Bi Ward/Commune Police, Moc Chau Ward Police, Son La Provincial Police).","Criminal, State",,1,,,,,,,,,,,,,,,,,,,,,,,,"Interpersonal dispute, Crime",,1,https://www.sggp.org.vn/tam-giu-hinh-su-2-nguoi-rut-sung-de-doa-nguoi-khac-o-deo-da-trang-post802689.html
0,VNM.2025.06.27.001,Seizure,Police Seize Pistol From Drug Trafficking Ring Spanning Hanoi and Thanh Hoa,27 June 2025,"Nam Ngan, Thanh Hoa City, Thanh Hoa; Giap Bat, Hoang Mai, Hanoi",20.9835041411806,105.841010531025,"Police seized one pistol and six rounds of ammunition along with 2.3kg of heroin, 2kg of crystal meth, 500g of ketamine, 2,000 ecstasy pills, 200 pink meth pills when they arrested 10 members of a suspected drug trafficking ring.  The ring was led by two suspects in Hanoi and one suspect in Thanh Hoa who distributed the supply to smaller distributors. Image showed one Type 54 pistol and six rounds of ammunition.","1 Type 54 pistol
6 rounds of ammunition","Criminal Organization
Police",Criminal organization (drug trafficking ring); Police,"Criminal, State",,1,,,,,,,,,,,,,,,,,,6,,,,,,Crime,Drug trafficking,1.06,https://www.sggp.org.vn/triet-pha-duong-day-ma-tuy-thu-giu-gan-56kg-ma-tuy-va-sung-dan-post801380.html
5,VNM.2025.06.27.002,Seizure,Seven arrested in Can Tho interprovincial drug ring found with revolver,27 June 2025,"Hung Phu Ward, Ninh Kieu District, Can Tho",10.0218379391112,105.785429305158,"Police seized one ZP-5 converted revolver and four rounds of ammunition from Nguyen Van Hai, one of seven suspects arrested in a large interprovincial drug-trafficking ring spanning Can Tho, Vinh Long, and Hau Giang on 27 and 28 June 2025. The case, which also yielded roughly 2.7 kilograms of heroin, methamphetamine, and ecstasy pills, began with the arrest of Nguyen Van Dung, Bui Thi Kim Ngan, and Nguyen Thi Ngoc Tuyen in Hung Phu Ward, Can Tho, before expanding to detain Hai, Tieu Thanh Nhieu, Tran Truong Tho, and one further suspect.","1 ZP-5 converted revolver
4 rounds of .22 caliber ammunition.","Criminal Organization
Police","Criminal Organization (Nguyen Van Dung, born 1979; Bui Thi Kim Ngan, born 2003; Nguyen Thi Ngoc Tuyen, born 1982; Nguyen Van Hai, born 1980; Tieu Thanh Nhieu, born 2003; Tran Truong Tho, born 1997; one additional suspect — all detained); Police (Can Tho Municipal Police Narcotics Investigation Department, Hung Phu Ward Police).","Criminal, State",,,,,,,,,,,,,,,,,,,,4,1,,,,,"Crime, Conversion",Drug trafficking,0.54,https://cand.vn/cong-an-tp-can-tho-boc-go-duong-day-ma-tuy-lien-tinh-quy-mo-lon-post773159.html
